"cat_no","context","figure_num","gender","qualifier","n_descriptors","n_in_dict","coverage_pct","dirmean_Warmth","dirmean_Competence","dirmean_Sociability","dirmean_Morality","dirmean_Ability","dirmean_Assertiveness","dirmean_Status","dirmean_Beliefs","dirmean_health","dirmean_deviance","dirmean_beauty","dirmean_Politics","dirmean_Religion","n_dirmean_Warmth","n_dirmean_Competence","n_dirmean_Sociability","n_dirmean_Morality","n_dirmean_Ability","n_dirmean_Assertiveness","n_dirmean_Status","n_dirmean_Beliefs","n_dirmean_health","n_dirmean_deviance","n_dirmean_beauty","n_dirmean_Politics","n_dirmean_Religion","asymmetry"
"P000001","secular",1,"Female","",30,16,53.3333333333333,0,-0.166666666666667,0,NA,1,-0.75,1,NA,NA,NA,NA,NA,NA,1,6,1,0,2,4,1,0,0,0,0,0,0,0.166666666666667
"P000001","secular",2,"Female","",24,15,62.5,0.5,0.857142857142857,0.5,NA,1,0.75,1,NA,NA,NA,NA,NA,NA,2,7,2,0,3,4,4,0,0,0,0,0,0,-0.357142857142857
"P000001","secular",3,"Female","",24,12,50,0.4,0.5,1,-0.5,0.75,0,1,NA,-1,-1,NA,NA,NA,5,3,3,2,2,1,1,0,1,1,0,0,0,-0.1
"P000001","secular",4,"Male","",21,10,47.6190476190476,0,0.5,0,0,0.75,0,1,NA,NA,NA,NA,NA,NA,3,3,2,1,2,1,1,0,0,0,0,0,0,-0.5
"P000001","secular",5,"Male","",27,16,59.2592592592593,0.2,0.805555555555555,0.5,0,0.833333333333333,0.777777777777778,0.777777777777778,0.5,NA,NA,NA,0,1,5,6,2,3,3,3,3,2,0,0,0,1,1,-0.605555555555555
"P000002","secular",1,"Male","",19,10,52.6315789473684,0,0.805555555555555,NA,0,0.833333333333333,0.777777777777778,0.833333333333333,0,NA,0,NA,0,NA,1,6,0,1,3,3,4,1,0,1,0,1,0,-0.805555555555555
"P000002","secular",2,"Female","",12,7,58.3333333333333,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,0,1,0,0,0,0,0,0,0,0,0
"P000002","secular",3,"Female","",12,7,58.3333333333333,0,0.9,NA,0,0.75,1,1,NA,NA,NA,NA,NA,NA,1,5,0,1,2,3,2,0,0,0,0,0,0,-0.9
"P000002","secular",4,"Female","",12,7,58.3333333333333,NA,0.666666666666667,NA,NA,1,0.5,0.5,NA,NA,NA,NA,NA,NA,0,3,0,0,1,2,2,0,0,0,0,0,0,NA
"P000002","secular",5,"Male","",14,9,64.2857142857143,NA,1,NA,NA,1,1,1,0,NA,0,NA,0,NA,0,5,0,0,2,3,2,1,0,1,0,1,0,NA
